vin,car_name,year,date,sale_price,times_viewed,body_type,transmission,variant,assured_buy,City,State,is_hot,rto,source,make,model,car_availability,total_owners,borker_quote,original_price,car_rating,ad_created_on,fitness_certificate,reserved,warranty_av
1HG265VK4972,audi a3,2021,3/4/2021,199575,13559,sedan,automatic,35tdi,FALSE,Los Angelas,CA,TRUE,ka51,inperson_sale,audi,a3,in_stock,1,171000,171000,great,3/4/2021 11:58:47,TRUE,FALSE,TRUE
1HG265VK3757,audi a3,2021,3/15/2021,166367,3457,sedan,automatic,40 tfsi premium,TRUE,Philadelphia,PA,TRUE,dl1c,inperson_sale,audi,a3,in_stock,1,171500,205320,great,3/15/2021 11:53:25,TRUE,TRUE,TRUE
1HG265VK9804,audi a4,2020,11/6/2020,105000,287,sedan,automatic,2.0 tdi 174bhp,TRUE,Atlanta,GA,FALSE,uk07,online,audi,a4,,1,73500,73500,good,11/6/2020 0:00:06,FALSE,FALSE,FALSE
1HG265VK9511,audi a4,2019,12/2/2019,360000,585,sedan,automatic,35 tdi technology,FALSE,Seattle,WA,FALSE,gj01,online,audi,a4,in_stock,1,8695,8695.868455,good,12/2/2019 4:44:20,TRUE,FALSE,FALSE
1HG265VK6022,audi a4,2021,5/28/2021,135000,106,sedan,automatic,2.0 tdi 174bhp prm plus,FALSE,San Faransisco,CA,FALSE,hr26,customer_to_customer,audi,a4,,2,135000,135000,great,5/28/2021 8:59:57,TRUE,FALSE,TRUE
1HG265VK3956,audi a4,2021,2/16/2021,94889,4777,sedan,automatic,2.0 tdi s line,TRUE,Boston,MA,TRUE,dl7c,inperson_sale,audi,a4,in_stock,1,92113,111670.8,great,2/16/2021 11:40:58,TRUE,FALSE,TRUE
1HG265VK3957,audi a4,2021,3/5/2021,115907,4004,sedan,automatic,2.0 tdi premium plus,TRUE,Boston,MA,TRUE,hr26,inperson_sale,audi,a4,in_stock,1,108705,108705,great,3/5/2021 17:53:32,TRUE,FALSE,TRUE
1HG265VK5630,audi a4,2021,3/19/2021,93799,5452,sedan,automatic,2.0 tdi premium plus,TRUE,San Faransisco,CA,TRUE,dl7c,inperson_sale,audi,a4,in_stock,2,89972,89972.5,great,3/19/2021 7:49:56,TRUE,FALSE,TRUE
1HG265VK7990,audi a6,2019,8/24/2019,80000,210,sedan,automatic,2.8 tfsi technology,TRUE,New Jersey,NJ,FALSE,mh14,online,audi,a6,,2,31000,31000,overpriced,8/24/2019 11:47:48,TRUE,FALSE,TRUE
1HG265VK9709,audi a6,2020,10/16/2020,104979,2704,sedan,automatic,2.0 tdi premium plus,TRUE,Atlanta,GA,TRUE,dl1c,inperson_sale,audi,a6,in_stock,2,107834,130193.5,great,10/16/2020 11:10:03,TRUE,FALSE,TRUE
1HG265VK7076,audi a6,2021,3/12/2021,109261,3209,sedan,automatic,2.0 tdi,TRUE,New York,NY,TRUE,mh04,inperson_sale,audi,a6,in_stock,2,114077,114227.1,great,3/12/2021 11:27:29,TRUE,FALSE,TRUE
1HG265VK3696,audi a6,2021,4/5/2021,120270,1937,sedan,automatic,2.0 tdi premium plus,TRUE,Philadelphia,PA,TRUE,dl1c,inperson_sale,audi,a6,in_stock,2,127354,153227.8,great,4/5/2021 9:04:10,TRUE,FALSE,TRUE
1HG265VK3968,audi q3,2020,11/11/2020,161640,3159,suv,automatic,35 tdi quattro,TRUE,Boston,MA,TRUE,hr26,inperson_sale,audi,q3,in_stock,1,121649,121649,great,11/11/2020 20:00:10,TRUE,FALSE,TRUE
1HG265VK8531,audi q3,2021,2/22/2021,153559,3164,suv,automatic,35 tdi quattro,TRUE,Denver,CO,TRUE,ts10,inperson_sale,audi,q3,in_stock,1,151750,177462.5,great,2/22/2021 12:17:20,TRUE,TRUE,TRUE
1HG265VK9767,audi q3,2021,3/18/2021,141419,2465,suv,automatic,30 tdi quattro,TRUE,Atlanta,GA,TRUE,dl1c,inperson_sale,audi,q3,in_stock,1,144963,145113.8,great,3/18/2021 8:28:53,TRUE,TRUE,TRUE
1HG265VK8827,audi q3,2021,3/27/2021,119129,1828,suv,automatic,2.0 tdi,TRUE,Houston,TX,TRUE,tn06,inperson_sale,audi,q3,in_stock,2,111800,125189.3,great,3/27/2021 13:19:48,TRUE,FALSE,TRUE
1HG265VK9455,audi q3,2021,2/10/2021,158024,3969,suv,automatic,35 tdi quattro,TRUE,Seattle,WA,TRUE,gj06,inperson_sale,audi,q3,in_stock,1,161000,188100,great,2/10/2021 8:27:53,TRUE,FALSE,TRUE
1HG265VK3618,audi q3,2021,2/4/2021,110382,3892,suv,automatic,2.0 tdi,TRUE,Philadelphia,PA,TRUE,up16,inperson_sale,audi,q3,in_stock,1,112771,113521,great,2/4/2021 9:00:51,TRUE,FALSE,TRUE
1HG265VK3694,audi q3,2021,2/9/2021,107251,1288,suv,automatic,2.0 tdi quattro,TRUE,Philadelphia,PA,TRUE,dl1c,inperson_sale,audi,q3,in_stock,2,99090,119405.1,great,2/9/2021 11:52:09,TRUE,FALSE,TRUE
1HG265VK3609,audi q3,2021,3/7/2021,133239,3871,suv,automatic,2.0 tdi quattro mt,TRUE,Philadelphia,PA,TRUE,dl1c,inperson_sale,audi,q3,in_stock,1,118421,118421.3,great,3/7/2021 11:30:49,TRUE,FALSE,TRUE
1HG265VK5910,audi q3,2021,3/16/2021,135572,6219,suv,automatic,30 tdi premium,TRUE,San Faransisco,CA,TRUE,dl2c,inperson_sale,audi,q3,in_stock,1,139345,139995.8,great,3/16/2021 9:57:08,TRUE,TRUE,TRUE
1HG265VK5745,audi q3,2021,2/22/2021,155994,2268,suv,automatic,35 tdi quattro,TRUE,San Faransisco,CA,TRUE,dl2c,inperson_sale,audi,q3,in_stock,2,161864,162514.4,great,2/22/2021 13:56:38,TRUE,FALSE,TRUE
1HG265VK5146,gmc yukon,2019,3/22/2019,21000,407,suv,dual,next gen yukon slt 4wd,FALSE,Los Angelas,CA,FALSE,ka01,,gmc,yukon,,1,14900,14900,fair,3/22/2019 13:03:05,TRUE,FALSE,TRUE
1HG265VK8999,gmc yukon,2021,3/13/2021,28959,799,suv,dual,next gen yukon slt 4wd,TRUE,Houston,TX,TRUE,tn11,inperson_sale,gmc,yukon,in_stock,2,28750,29059.9,great,3/13/2021 10:28:55,TRUE,FALSE,TRUE
1HG265VK8644,gmc yukon,2020,9/22/2020,29509,3106,suv,dual,next gen yukon slt 4wd,TRUE,Houston,TX,TRUE,tn11,inperson_sale,gmc,yukon,in_stock,3,30400,36780,great,9/22/2020 8:24:09,TRUE,FALSE,TRUE
1HG265VK8891,gmc yukon,2021,4/20/2021,42359,613,suv,automatic,next gen yukon slt 4wd,TRUE,Houston,TX,TRUE,tn10,inperson_sale,gmc,yukon,in_stock,1,32500,32500,great,4/20/2021 9:07:15,TRUE,FALSE,TRUE
1HG265VK9079,gmc yukon,2021,3/13/2021,41219,2698,suv,dual,next gen yukon slt 4wd,TRUE,Houston,TX,TRUE,tn05,inperson_sale,gmc,yukon,in_transit,2,37200,44736,great,3/13/2021 6:17:44,TRUE,FALSE,TRUE
1HG265VK9108,gmc yukon,2021,3/17/2021,36839,5531,suv,dual,next gen yukon slt 4wd,TRUE,Houston,TX,TRUE,tn06,inperson_sale,gmc,yukon,in_stock,1,35400,42630,great,3/17/2021 9:54:45,TRUE,TRUE,TRUE
1HG265VK8842,gmc yukon,2021,3/21/2021,28439,1015,suv,dual,next gen yukon slt 4wd,FALSE,Houston,TX,TRUE,tn58,inperson_sale,gmc,yukon,in_stock,1,25692,31272.1,great,3/21/2021 5:46:11,TRUE,FALSE,TRUE
1HG265VK9082,gmc yukon,2021,3/20/2021,34849,572,suv,dual,next gen yukon slt 4wd,TRUE,Houston,TX,TRUE,tn11,inperson_sale,gmc,yukon,in_transit,1,30100,36429,great,3/20/2021 10:44:25,TRUE,FALSE,TRUE
1HG265VK7528,gmc yukon,2021,3/3/2021,33039,2571,suv,dual,next gen yukon slt 4wd,FALSE,New Jersey,NJ,TRUE,mh12,inperson_sale,gmc,yukon,in_stock,1,32400,32400,great,3/3/2021 6:12:43,TRUE,FALSE,TRUE
1HG265VK4685,gmc yukon,2021,4/5/2021,26919,781,suv,dual,next gen yukon slt 4wd,TRUE,Los Angelas,CA,TRUE,ka02,inperson_sale,gmc,yukon,in_stock,1,20377,20377.3,fair,4/5/2021 6:01:58,TRUE,FALSE,TRUE
1HG265VK4761,gmc yukon,2021,3/20/2021,38829,1342,suv,dual,next gen yukon slt 4wd,TRUE,Los Angelas,CA,TRUE,ka12,inperson_sale,gmc,yukon,in_stock,1,37810,37810.2,great,3/20/2021 6:06:18,TRUE,FALSE,TRUE
1HG265VK4728,gmc yukon,2021,4/7/2021,29239,966,suv,dual,next gen yukon slt 4wd,TRUE,Los Angelas,CA,TRUE,ka05,inperson_sale,gmc,yukon,in_transit,2,25500,25500,great,4/7/2021 5:27:31,TRUE,FALSE,TRUE
1HG265VK4647,gmc yukon,2021,3/21/2021,28439,2530,suv,dual,next gen yukon slt 4wd,TRUE,Los Angelas,CA,TRUE,ka06,inperson_sale,gmc,yukon,in_stock,2,27492,27492.6,great,3/21/2021 10:17:14,TRUE,FALSE,TRUE
1HG265VK5527,gmc yukon,2021,3/4/2021,29199,285,suv,dual,next gen yukon slt 4wd,TRUE,San Faransisco,CA,TRUE,dl1c,inperson_sale,gmc,yukon,in_stock,1,22620,22620,great,3/4/2021 14:59:30,TRUE,FALSE,FALSE
1HG265VK8470,honda crv,2021,3/15/2021,28529,5288,suv,dual,2.4 mt,TRUE,Denver,CO,TRUE,ap10,inperson_sale,honda,crv,in_stock,2,27770,34580.3,fair,3/15/2021 5:55:08,TRUE,TRUE,TRUE
1HG265VK7287,honda crv,2021,3/20/2021,29679,1723,suv,automatic,2.4 at,TRUE,New York,NY,TRUE,mh02,inperson_sale,honda,crv,in_stock,2,24679,24679.8,good,3/20/2021 12:20:10,TRUE,TRUE,TRUE
1HG265VK9588,honda crv,2020,10/24/2020,92529,1537,suv,automatic,2.4 at 4wd avn,TRUE,Portland,OR,TRUE,hr12,inperson_sale,honda,crv,in_stock,3,80319,98153.6,great,10/24/2020 7:03:05,TRUE,FALSE,TRUE
1HG265VK7717,honda crv,2021,3/16/2021,77429,2872,suv,automatic,2.0 2wd at,TRUE,New Jersey,NJ,TRUE,mh04,inperson_sale,honda,crv,in_stock,1,79500,79650,great,3/16/2021 7:39:17,TRUE,FALSE,TRUE
1HG265VK7468,honda crv,2021,3/10/2021,119624,2473,suv,automatic,2.4 at 4wd avn,TRUE,New Jersey,NJ,TRUE,mh03,inperson_sale,honda,crv,in_stock,2,113300,113300,great,3/10/2021 5:12:39,TRUE,FALSE,TRUE
1HG265VK3886,kia seltos,2021,3/12/2021,139965,7280,suv,automatic,seltos fd 4wd,TRUE,Boston,MA,TRUE,hr26,inperson_sale,kia,seltos,in_stock,1,147750,148350,great,3/12/2021 7:10:52,TRUE,FALSE,TRUE
1HG265VK8749,kia seltos,2021,3/30/2021,152994,3212,suv,automatic,seltos fd 4wd,TRUE,Houston,TX,TRUE,tn12,inperson_sale,kia,seltos,in_stock,1,160999,161149.9,great,3/30/2021 13:05:37,TRUE,FALSE,TRUE
1HG265VK6555,kia seltos,2021,3/31/2021,191172,2147,suv,automatic,seltos fd 4wd,TRUE,New York,NY,TRUE,mh04,inperson_sale,kia,seltos,in_stock,1,197111,197261,great,3/31/2021 9:55:25,TRUE,FALSE,FALSE
1HG265VK6554,kia seltos,2021,3/4/2021,190465,3003,suv,automatic,seltos fd 4wd,TRUE,New York,NY,TRUE,mh47,inperson_sale,kia,seltos,in_stock,1,195788,195938,great,3/4/2021 13:49:04,TRUE,FALSE,TRUE
1HG265VK7634,kia seltos,2021,5/8/2021,156751,1633,suv,automatic,seltos fd 4wd,TRUE,New Jersey,NJ,TRUE,mh14,inperson_sale,kia,seltos,,1,157807,156772,great,5/8/2021 11:20:29,TRUE,FALSE,TRUE
1HG265VK5170,kia seltos,2021,3/14/2021,164109,4967,suv,automatic,seltos fd 4wd,TRUE,Los Angelas,CA,TRUE,ka04,inperson_sale,kia,seltos,in_stock,1,174500,174650,great,3/14/2021 12:23:32,TRUE,TRUE,TRUE
1HG265VK5280,kia seltos,2021,3/12/2021,145298,9647,suv,automatic,seltos fd 4wd,TRUE,San Faransisco,CA,TRUE,hr26,inperson_sale,kia,seltos,in_stock,1,152000,152600,great,3/12/2021 8:13:52,TRUE,FALSE,TRUE
1HG265VK8106,volvo xc40,2021,2/11/2021,143328,4037,suv,automatic,xc40 plugin hybrid,TRUE,Denver,CO,TRUE,ts09,inperson_sale,volvo,xc40,in_stock,2,146750,143339,great,2/11/2021 9:31:57,TRUE,FALSE,FALSE
1HG265VK8569,volvo xc40,2021,3/17/2021,203373,5531,suv,automatic,xc40 plugin hybrid,TRUE,Houston,TX,TRUE,tn22,inperson_sale,volvo,xc40,in_stock,1,215000,215000,great,3/17/2021 15:26:03,TRUE,FALSE,TRUE
1HG265VK9434,volvo xc40,2021,3/11/2021,166326,2141,suv,automatic,xc40 plugin hybrid,TRUE,Seattle,WA,TRUE,gj16,inperson_sale,volvo,xc40,in_stock,1,150557,176090,great,3/11/2021 6:44:33,TRUE,FALSE,TRUE
1HG265VK6928,volvo xc40,2021,3/23/2021,170568,800,suv,automatic,xc40 plugin hybrid,TRUE,New York,NY,TRUE,mh43,inperson_sale,volvo,xc40,in_stock,1,168689,168689.2,great,3/23/2021 7:30:28,TRUE,FALSE,TRUE
1HG265VK7791,volvo xc40,2021,2/20/2021,171419,1407,suv,automatic,xc40 plugin hybrid,TRUE,New Jersey,NJ,TRUE,mh04,inperson_sale,volvo,xc40,in_stock,1,178129,178279.4,great,2/20/2021 9:38:32,TRUE,TRUE,TRUE
1HG265VK5075,volvo xc40,2021,2/19/2021,171689,1333,suv,automatic,xc40 plugin hybrid,TRUE,Los Angelas,CA,TRUE,ka01,inperson_sale,volvo,xc40,in_stock,1,173225,173375.2,great,2/19/2021 10:41:41,TRUE,TRUE,TRUE
1HG265VK3674,volvo xc40,2021,4/24/2021,30709,2828,suv,dual,xc40 plugin hybrid,TRUE,Philadelphia,PA,TRUE,dl7c,inperson_sale,volvo,xc40,,3,29531,33119.9,great,4/24/2021 12:30:29,TRUE,FALSE,TRUE
1HG265VK5884,volvo xc40,2021,3/17/2021,164710,1795,suv,automatic,xc40 plugin hybrid,TRUE,San Faransisco,CA,TRUE,hr26,inperson_sale,volvo,xc40,in_stock,1,167745,168345.4,great,3/17/2021 13:01:30,TRUE,TRUE,TRUE
1HG265VK9512,volvo xc60,2019,12/1/2019,180000,170,suv,automatic,xc60 plugin hybrid,TRUE,Seattle,WA,FALSE,gj18,online,volvo,xc60,in_stock,1,86000,86000,fair,12/1/2019 10:26:23,TRUE,FALSE,TRUE
1HG265VK9517,volvo xc60,2019,10/15/2019,100000,156,suv,automatic,xc60 plugin hybrid,FALSE,Seattle,WA,FALSE,gj15,online,volvo,xc60,,2,27299,27299.29223,fair,10/15/2019 6:12:54,TRUE,FALSE,TRUE
1HG265VK4101,volvo xc60,2021,4/7/2021,114239,3457,suv,automatic,xc60 plugin hybrid,TRUE,Boston,MA,TRUE,dl8c,inperson_sale,volvo,xc60,in_stock,1,117854,118504.1,great,4/7/2021 2:18:32,TRUE,TRUE,FALSE
1HG265VK4091,ford fusion,2020,8/16/2020,20800,272,sedan,automatic,fusion se,TRUE,Boston,MA,FALSE,hr05,online,ford,fusion,in_stock,1,10400,10400,fair,8/16/2020 7:05:26,TRUE,FALSE,TRUE
1HG265VK9798,ford fusion,2019,3/16/2019,25000,879,sedan,automatic,fusion hybrid titanium,FALSE,Atlanta,GA,FALSE,up14,,ford,fusion,,1,16500,16500,good,3/16/2019 13:10:51,TRUE,FALSE,TRUE
1HG265VK9510,ford fusion,2019,12/30/2019,17500,198,sedan,automatic,fusion hybrid se,TRUE,Seattle,WA,FALSE,gj01,online,ford,fusion,in_stock,2,6500,6500,overpriced,12/30/2019 15:23:50,TRUE,FALSE,TRUE
1HG265VK9525,ford fusion,2019,9/4/2019,8000,174,sedan,automatic,fusion hybrid se,FALSE,Seattle,WA,FALSE,gj1h,online,ford,fusion,,2,2900,2900,overpriced,9/4/2019 7:36:11,FALSE,FALSE,FALSE
1HG265VK9537,ford fusion,2019,3/30/2019,7500,671,sedan,automatic,fusion hybrid se,FALSE,Seattle,WA,FALSE,gj01,,ford,fusion,,4,3300,3300,fair,3/30/2019 12:15:58,FALSE,FALSE,TRUE
1HG265VK7323,ford fusion,2019,8/22/2019,17000,36,sedan,automatic,fusion se,TRUE,New York,NY,FALSE,gj05,online,ford,fusion,,1,8500,8500,overpriced,8/22/2019 9:01:03,TRUE,FALSE,TRUE
1HG265VK7995,ford fusion,2019,8/22/2019,5000,456,sedan,automatic,fusion hybrid titanium,FALSE,New Jersey,NJ,FALSE,mh12,online,ford,fusion,,3,1800,1800,overpriced,8/22/2019 12:10:53,FALSE,FALSE,TRUE
1HG265VK6108,ford fusion,2019,9/13/2019,8500,671,sedan,automatic,fusion se,FALSE,San Faransisco,CA,FALSE,dl4c,online,ford,fusion,,2,42882,42882.71342,great,9/13/2019 10:26:07,FALSE,FALSE,TRUE
1HG265VK6149,ford fusion,2019,8/22/2019,13000,320,sedan,automatic,fusion se,FALSE,San Faransisco,CA,FALSE,dl4c,online,ford,fusion,,2,18816,18816.73301,fair,8/22/2019 13:40:27,TRUE,FALSE,TRUE
1HG265VK6070,ford fusion,2020,6/3/2020,15100,288,sedan,automatic,fusion hybrid se,FALSE,San Faransisco,CA,FALSE,dl12,online,ford,fusion,in_stock,1,28093,28093.38272,good,6/3/2020 10:03:23,TRUE,FALSE,TRUE
1HG265VK6184,ford fusion,2019,3/9/2019,10000,168,sedan,automatic,fusion hybrid se,FALSE,San Faransisco,CA,FALSE,dl9c,,ford,fusion,,1,5900,5900,fair,3/9/2019 12:03:38,FALSE,FALSE,TRUE
1HG265VK4082,ford fusion,2021,2/12/2021,16609,486,sedan,automatic,fusion se,TRUE,Boston,MA,TRUE,hr51,inperson_sale,ford,fusion,out_of_stock,1,15200,19454,great,2/12/2021 7:28:57,TRUE,TRUE,TRUE
1HG265VK3947,ford fusion,2021,3/31/2021,29959,2433,sedan,automatic,fusion hybrid se,TRUE,Boston,MA,TRUE,hr26,inperson_sale,ford,fusion,in_stock,1,26300,30229.9,great,3/31/2021 13:37:08,TRUE,FALSE,TRUE
1HG265VK8511,ford fusion,2021,3/16/2021,24359,1824,sedan,automatic,fusion se,TRUE,Denver,CO,TRUE,ap09,inperson_sale,ford,fusion,out_of_stock,1,23000,28904,good,3/16/2021 9:29:13,TRUE,TRUE,TRUE
1HG265VK8314,ford fusion,2021,3/21/2021,26599,742,sedan,automatic,fusion se,TRUE,Denver,CO,TRUE,ap29,inperson_sale,ford,fusion,in_stock,1,23611,29631.8,good,3/21/2021 12:56:33,TRUE,FALSE,TRUE
1HG265VK8327,ford fusion,2021,4/29/2021,29779,1233,sedan,automatic,fusion se,TRUE,Denver,CO,TRUE,ap28,inperson_sale,ford,fusion,,2,23943,29789.9,great,4/29/2021 8:06:43,TRUE,FALSE,TRUE
1HG265VK8387,ford fusion,2021,3/12/2021,30729,1498,sedan,automatic,fusion se,TRUE,Denver,CO,TRUE,ts06,inperson_sale,ford,fusion,in_stock,1,29219,29219.2,great,3/12/2021 9:20:14,TRUE,FALSE,FALSE
1HG265VK8031,ford fusion,2021,3/25/2021,39899,7606,sedan,automatic,fusion titanium,TRUE,Denver,CO,TRUE,ts07,inperson_sale,ford,fusion,in_stock,1,39600,48658,great,3/25/2021 9:12:02,TRUE,TRUE,TRUE
1HG265VK8471,ford fusion,2021,4/11/2021,44999,964,sedan,automatic,fusion titanium,TRUE,Denver,CO,TRUE,ts10,inperson_sale,ford,fusion,in_stock,1,42232,42232.9,great,4/11/2021 10:42:20,TRUE,TRUE,TRUE
1HG265VK9730,ford fusion,2021,2/2/2021,25359,64,sedan,automatic,fusion se,TRUE,Atlanta,GA,TRUE,dl12,inperson_sale,ford,fusion,in_stock,2,16149,16149.7,fair,2/2/2021 13:06:16,TRUE,FALSE,TRUE
1HG265VK9765,ford fusion,2021,4/3/2021,17619,2064,sedan,automatic,fusion se,TRUE,Atlanta,GA,TRUE,dl10,inperson_sale,ford,fusion,out_of_stock,1,13789,13789.7,great,4/3/2021 8:37:53,TRUE,TRUE,TRUE
1HG265VK9715,ford fusion,2021,4/8/2021,41279,1750,sedan,automatic,fusion titanium,TRUE,Atlanta,GA,TRUE,up14,inperson_sale,ford,fusion,in_stock,1,40632,41382,great,4/8/2021 18:23:11,TRUE,FALSE,TRUE
1HG265VK9087,ford fusion,2021,3/17/2021,27859,778,sedan,automatic,fusion se,TRUE,Houston,TX,TRUE,tn18,inperson_sale,ford,fusion,in_transit,1,23796,28919.9,good,3/17/2021 9:25:41,TRUE,FALSE,TRUE
1HG265VK9030,ford fusion,2021,4/6/2021,22219,489,sedan,automatic,fusion se,TRUE,Houston,TX,TRUE,tn10,inperson_sale,ford,fusion,in_stock,3,19773,22229.9,good,4/6/2021 8:33:05,TRUE,FALSE,TRUE
1HG265VK8835,ford fusion,2021,3/4/2021,23959,2435,sedan,automatic,fusion se,TRUE,Houston,TX,TRUE,tn07,inperson_sale,ford,fusion,in_stock,1,21454,26312.9,good,3/4/2021 10:58:45,TRUE,FALSE,TRUE
1HG265VK9129,ford fusion,2021,3/7/2021,24899,2444,sedan,automatic,fusion se,TRUE,Houston,TX,TRUE,tn07,inperson_sale,ford,fusion,in_stock,1,21894,26827.7,good,3/7/2021 6:35:37,TRUE,TRUE,TRUE
1HG265VK8972,ford fusion,2021,4/2/2021,32329,579,sedan,automatic,fusion se,TRUE,Houston,TX,TRUE,tn10,inperson_sale,ford,fusion,in_stock,1,27273,32339.9,good,4/2/2021 5:36:29,TRUE,FALSE,TRUE
1HG265VK9134,ford fusion,2021,2/26/2021,57069,1614,sedan,automatic,fusion sel,TRUE,Houston,TX,TRUE,tn73,inperson_sale,ford,fusion,in_stock,1,57900,68269,great,2/26/2021 8:46:08,TRUE,TRUE,TRUE
1HG265VK8966,ford fusion,2021,4/20/2021,61359,790,sedan,automatic,fusion sel,TRUE,Houston,TX,TRUE,tn09,inperson_sale,ford,fusion,in_stock,1,62580,62730.8,great,4/20/2021 6:30:35,TRUE,FALSE,FALSE
1HG265VK9136,ford fusion,2021,3/25/2021,51759,1607,sedan,automatic,fusion sel,TRUE,Houston,TX,TRUE,tn67,inperson_sale,ford,fusion,in_stock,1,48000,56412,great,3/25/2021 12:15:05,TRUE,TRUE,TRUE
1HG265VK8953,ford fusion,2021,3/31/2021,62219,826,sedan,automatic,fusion titanium,TRUE,Houston,TX,TRUE,tn14,inperson_sale,ford,fusion,in_transit,1,62169,63849.9,great,3/31/2021 9:49:16,TRUE,FALSE,TRUE
1HG265VK8773,ford fusion,2021,4/13/2021,62979,1312,sedan,automatic,fusion titanium,TRUE,Houston,TX,TRUE,tn07,inperson_sale,ford,fusion,in_stock,1,61952,62989.9,great,4/13/2021 10:58:38,TRUE,FALSE,TRUE
1HG265VK8980,ford fusion,2021,4/19/2021,46059,1368,sedan,automatic,fusion titanium,TRUE,Houston,TX,TRUE,tn05,inperson_sale,ford,fusion,in_stock,1,41748,46069.9,great,4/19/2021 6:22:38,TRUE,FALSE,TRUE
1HG265VK8688,ford fusion,2021,3/13/2021,53289,3077,sedan,automatic,fusion titanium,FALSE,Houston,TX,TRUE,tn07,inperson_sale,ford,fusion,in_stock,2,52881,62497.3,great,3/13/2021 5:36:53,TRUE,FALSE,TRUE
1HG265VK9121,ford fusion,2021,4/12/2021,53769,979,sedan,automatic,fusion titanium,TRUE,Houston,TX,TRUE,tn02,inperson_sale,ford,fusion,in_stock,1,52567,52567.5,great,4/12/2021 14:29:47,TRUE,TRUE,TRUE
1HG265VK8923,ford fusion,2021,4/21/2021,40449,549,sedan,automatic,fusion hybrid sel,TRUE,Houston,TX,TRUE,tn18,inperson_sale,ford,fusion,,3,35561,40459.9,great,4/21/2021 8:06:52,TRUE,FALSE,TRUE
1HG265VK8874,ford fusion,2021,3/20/2021,31019,4293,sedan,automatic,fusion hybrid sel,TRUE,Houston,TX,TRUE,tn02,inperson_sale,ford,fusion,in_stock,1,30400,36780,great,3/20/2021 9:34:06,TRUE,FALSE,TRUE
1HG265VK9002,ford fusion,2021,2/21/2021,34599,1866,sedan,automatic,fusion hybrid titanium,TRUE,Houston,TX,TRUE,tn02,inperson_sale,ford,fusion,in_stock,1,32000,38652,great,2/21/2021 5:40:45,TRUE,FALSE,TRUE
1HG265VK9496,ford fusion,2021,4/3/2021,53899,5126,sedan,automatic,fusion sel,TRUE,Seattle,WA,TRUE,gj05,inperson_sale,ford,fusion,in_stock,1,54750,66535.5,great,4/3/2021 11:39:03,TRUE,TRUE,FALSE
1HG265VK6604,ford fusion,2021,4/7/2021,31649,1140,sedan,automatic,fusion se,TRUE,New York,NY,TRUE,mh02,inperson_sale,ford,fusion,in_stock,1,29514,29514.2,great,4/7/2021 7:07:46,TRUE,FALSE,TRUE
